turn,fromRank,fromFile,toRank,toFile,timeSpent,win
4,7,6,5,5,2,0
8,5,5,3,4,3,0
10,3,4,5,5,3,0
12,7,1,5,2,6,0
28,5,5,3,4,11,0
32,5,2,3,3,13,0
34,3,4,2,2,10,0
38,3,3,5,4,11,0
42,5,4,3,5,11,0
60,3,5,1,4,19,0
62,1,4,2,2,16,0
70,2,2,3,4,26,0
74,3,4,5,3,19,0
78,5,3,4,5,20,0
80,4,5,3,7,20,0
2,7,6,5,5,1,0
12,5,5,4,7,5,0
14,4,7,3,5,4,0
30,7,1,5,2,15,0
32,5,2,3,1,8,0
34,3,1,2,3,9,0
48,2,3,3,1,15,0
50,3,1,5,0,13,0
54,5,0,3,1,14,0
56,3,1,1,2,14,0
58,1,2,2,4,15,0
64,2,4,1,2,17,0
68,1,2,3,3,18,0
78,3,3,2,5,22,0
80,2,5,0,4,20,0
82,0,4,2,3,21,0
4,7,1,5,2,2,1
8,7,6,5,5,4,1
14,5,2,4,0,6,1
22,4,0,2,1,7,1
24,2,1,0,0,6,1
26,5,5,4,3,11,1
38,0,0,1,2,13,1
10,7,6,5,5,5,1
16,7,1,6,3,8,1
40,6,3,7,1,16,1
42,5,5,6,3,18,1
50,6,3,4,2,14,1
52,7,1,6,3,16,1
62,6,3,7,1,18,1
4,7,1,5,2,2,1
6,7,6,6,4,3,1
24,6,4,4,3,10,1
28,4,3,5,1,8,1
34,5,2,4,4,16,1
50,5,1,3,2,18,1
2,7,6,5,5,1,0
20,7,1,5,2,10,0
22,5,5,4,3,10,0
24,4,3,2,2,6,0
34,5,2,4,4,12,0
38,4,4,6,3,10,0
50,6,3,4,2,15,0
2,7,6,5,5,1,1
14,7,1,6,3,7,1
28,6,3,4,4,10,1
2,7,6,5,5,1,0
4,5,5,4,3,1,0
12,4,3,5,1,5,0
18,7,1,5,2,9,0
34,5,2,6,4,12,0
42,5,1,3,0,18,0
56,6,4,5,2,19,0
58,5,2,3,3,15,0
60,3,0,2,2,19,0
8,7,6,6,4,4,1
14,6,4,4,5,5,1
24,7,1,5,2,12,1
52,5,2,6,4,20,1
6,7,6,5,5,3,1
12,7,1,6,3,6,1
16,5,5,3,4,6,1
18,6,3,5,5,6,1
28,5,5,6,3,9,1
4,7,1,5,2,2,0
16,7,6,6,4,8,0
18,5,2,3,3,8,0
20,6,4,4,3,6,0
4,7,6,5,5,2,1
8,5,5,3,4,3,1
18,3,4,2,2,7,1
26,7,1,5,2,13,1
28,5,2,3,3,7,1
22,7,1,5,2,11,1
26,7,6,5,7,13,1
32,5,7,6,5,9,1
50,5,2,7,3,19,1
6,7,6,5,5,3,1
10,7,1,6,3,5,1
22,5,5,3,4,9,1
24,6,3,5,5,9,1
26,5,5,3,4,7,1
4,7,6,5,5,2,0
8,5,5,3,4,3,0
12,7,1,5,2,6,0
18,3,4,1,3,7,0
28,5,2,4,0,11,0
30,4,0,3,2,8,0
4,7,6,5,5,2,0
20,7,1,6,3,10,0
22,6,3,4,2,6,0
28,4,2,5,4,8,0
32,5,4,3,5,9,0
34,3,5,2,7,9,0
4,7,1,5,2,2,0
10,7,6,5,5,5,0
24,5,2,6,4,11,0
32,6,4,4,5,10,0
6,7,6,5,5,3,0
16,7,1,5,2,8,0
24,5,2,4,4,8,0
26,4,4,3,2,7,0
36,5,5,4,7,16,0
38,4,7,3,5,10,0
52,3,5,1,4,16,0
68,1,4,3,3,21,0
2,7,6,5,5,1,0
6,5,5,6,3,2,0
12,7,1,5,2,6,0
20,6,3,4,2,8,0
30,5,2,4,0,12,0
32,4,0,2,1,8,0
36,4,2,2,1,13,0
50,2,1,4,2,16,0
56,4,2,2,3,15,0
62,2,3,3,5,17,0
64,3,5,5,6,16,0
66,5,6,4,4,17,0
2,7,6,5,5,1,0
10,7,1,5,2,5,0
14,5,5,4,3,6,0
16,4,3,3,1,4,0
24,5,2,3,3,9,0
26,3,1,2,3,9,0
30,2,3,1,1,8,0
68,1,1,3,2,26,0
76,3,2,1,1,21,0
82,1,1,0,3,22,0
8,7,6,6,4,4,1
4,7,6,5,5,2,0
6,7,1,5,2,3,0
12,5,5,4,3,5,0
14,4,3,2,2,4,0
26,5,2,4,0,11,0
28,4,0,2,1,7,0
2,7,6,5,5,1,1
6,5,5,3,4,2,1
10,3,4,4,2,3,1
12,7,1,5,2,6,1
34,4,2,2,1,14,1
36,2,1,0,2,9,1
40,5,2,4,0,17,1
2,7,6,5,5,1,1
18,7,1,6,3,9,1
38,6,3,4,2,14,1
48,4,2,2,3,14,1
50,2,3,0,2,13,1
52,0,2,1,0,13,1
54,1,0,3,1,14,1
8,7,6,5,5,4,0
28,7,1,6,3,14,0
46,5,5,6,7,21,0
54,6,3,5,5,20,0
56,5,5,3,4,14,0
68,6,7,4,6,22,0
10,7,1,6,3,5,0
12,7,6,6,4,6,0
16,6,4,5,6,5,0
26,5,6,3,5,9,0
40,6,3,7,5,17,0
46,7,5,5,6,13,0
48,5,6,3,7,12,0
50,3,7,4,5,13,0
52,4,5,3,3,13,0
2,7,6,5,5,1,1
6,7,1,5,2,3,1
28,5,5,7,4,13,1
30,7,4,5,5,8,1
36,5,2,3,3,16,1
42,3,3,4,5,12,1
10,7,6,6,4,5,0
14,7,1,6,3,7,0
16,6,4,5,2,5,0
32,5,2,3,1,12,0
34,3,1,1,2,9,0
66,6,3,7,5,29,0
4,7,1,5,2,2,1
6,7,6,5,5,3,1
22,5,2,4,0,10,1
28,4,0,3,2,8,1
30,3,2,5,3,8,1
40,5,3,6,1,12,1
50,6,1,5,3,15,1
56,5,3,6,5,15,1
16,7,6,5,5,8,1
18,5,5,3,6,5,1
24,3,6,1,5,7,1
46,7,1,6,3,23,1
52,6,3,7,5,14,1
66,7,5,6,3,20,1
8,7,1,5,2,4,1
22,7,6,5,5,11,1
36,5,5,6,3,12,1
38,5,2,6,4,17,1
56,6,3,5,5,19,1
70,5,5,4,3,21,1
74,4,3,5,5,19,1
82,5,5,4,3,22,1
84,4,3,5,5,21,1
10,7,1,5,2,5,1
12,7,6,5,7,6,1
16,5,7,4,5,5,1
20,4,5,2,4,6,1
34,5,2,6,4,14,1
48,6,4,5,2,15,1
50,5,2,4,4,13,1
56,4,4,6,5,15,1
58,6,5,5,3,15,1
70,5,3,4,1,20,1
72,4,1,3,3,18,1
76,3,3,5,4,20,1
78,5,4,6,6,20,1
82,6,6,5,4,21,1
84,5,4,6,6,21,1
8,7,6,5,5,4,1
12,7,1,5,2,6,1
2,7,6,5,5,1,0
24,7,1,5,2,12,0
32,5,5,3,4,15,0
50,3,4,5,3,17,0
62,5,3,4,1,18,0
64,4,1,3,3,16,0
66,3,3,2,1,17,0
72,2,1,4,2,19,0
74,4,2,3,4,19,0
2,7,6,5,5,1,1
30,5,5,4,3,14,1
32,7,1,5,2,16,1
34,4,3,5,1,9,1
40,5,1,3,2,11,1
6,7,6,5,5,3,1
20,7,1,5,2,10,1
22,5,2,3,1,6,1
24,3,1,4,3,6,1
26,4,3,3,5,7,1
44,5,5,4,3,20,1
56,4,3,5,5,17,1
70,5,5,4,7,21,1
92,4,7,3,5,28,1
4,7,1,5,2,2,0
8,7,6,5,5,4,0
28,5,2,3,3,13,0
32,3,3,4,5,9,0
34,4,5,6,4,9,0
42,6,4,5,6,12,0
56,5,6,4,4,17,0
60,4,4,2,3,16,0
74,2,3,4,4,22,0
88,4,4,6,5,25,0
94,6,5,4,4,25,0
98,4,4,3,6,25,0
100,3,6,4,4,25,0
4,7,1,5,2,2,1
14,7,6,5,5,7,1
22,5,5,7,4,7,1
2,7,6,5,5,1,1
14,7,1,6,3,7,1
22,6,3,4,4,7,1
34,5,5,6,3,16,1
36,6,3,7,5,9,1
38,7,5,5,6,10,1
52,5,6,6,4,16,1
64,6,4,4,3,19,1
6,7,6,5,5,3,0
26,7,1,6,3,13,0
28,6,3,4,4,7,0
30,5,5,6,3,13,0
32,6,3,4,2,8,0
44,4,2,3,4,14,0
46,3,4,2,6,12,0
6,7,1,5,2,3,1
20,7,6,5,5,10,1
32,5,5,3,6,11,1
34,3,6,1,5,9,1
36,5,2,4,4,16,1
2,7,1,5,2,1,1
6,5,2,6,4,2,1
8,6,4,5,6,2,1
16,7,6,5,5,8,1
68,5,6,7,5,32,1
2,7,6,5,5,1,1
8,5,5,4,3,3,1
10,4,3,6,2,3,1
12,7,1,5,2,6,1
26,6,2,5,4,10,1
32,5,4,3,3,9,1
34,5,2,3,3,14,1
38,3,3,5,2,11,1
40,5,2,3,1,10,1
2,7,6,5,5,1,1
6,7,1,5,2,3,1
20,5,2,3,3,8,1
26,5,5,6,3,12,1
28,6,3,4,2,7,1
44,4,2,5,0,15,1
46,5,0,3,1,12,1
48,3,1,1,0,12,1
14,7,6,5,5,7,1
20,7,1,6,3,10,1
26,6,3,4,4,8,1
28,4,4,3,6,7,1
32,5,5,4,3,12,1
34,4,3,5,5,9,1
38,5,5,6,3,10,1
44,6,3,4,4,12,1
2,7,6,5,5,1,1
4,5,5,3,4,1,1
8,3,4,5,5,3,1
18,7,1,5,2,9,1
22,5,5,6,3,9,1
32,6,3,4,4,10,1
4,7,6,5,5,2,1
16,5,5,3,6,7,1
18,7,1,5,2,9,1
20,3,6,4,4,6,1
4,7,1,5,2,2,1
6,7,6,5,5,3,1
26,5,5,3,4,11,1
8,7,6,5,5,4,0
16,7,1,5,2,8,0
26,5,2,4,4,9,0
2,7,6,5,5,1,1
20,7,1,5,2,10,1
26,5,2,4,0,8,1
38,4,0,3,2,12,1
44,3,2,4,0,12,1
48,4,0,6,1,13,1
50,6,1,4,2,13,1
60,4,2,2,3,17,1
66,2,3,4,2,18,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
16,5,2,3,3,7,1
24,5,5,4,7,10,1
28,4,7,5,5,8,1
50,5,5,4,3,18,1
96,4,3,3,5,35,1
126,3,5,2,7,39,1
128,2,7,3,5,32,1
132,3,5,4,3,34,1
134,4,3,3,5,34,1
136,3,5,4,3,34,1
146,4,3,5,5,39,1
152,5,5,6,3,39,1
156,6,3,5,5,40,1
162,5,5,6,3,42,1
166,6,3,4,4,42,1
170,4,4,6,3,43,1
182,6,3,5,5,48,1
186,5,5,3,4,47,1
190,3,4,5,3,48,1
2,7,6,5,5,1,1
6,7,1,5,2,3,1
22,5,5,6,3,10,1
24,5,2,4,0,10,1
32,4,0,5,2,10,1
40,6,3,4,2,14,1
44,5,2,3,1,14,1
52,3,1,1,0,15,1
54,1,0,3,1,14,1
56,3,1,5,2,14,1
68,4,2,3,0,24,1
70,3,0,5,1,18,1
72,5,1,4,3,18,1
74,5,2,3,3,23,1
78,3,3,4,1,20,1
8,7,6,6,4,4,1
18,7,1,6,3,9,1
34,6,3,5,1,12,1
14,7,6,5,5,7,1
20,7,1,6,3,10,1
2,7,6,5,5,1,1
18,7,1,6,3,9,1
34,6,3,7,1,12,1
40,7,1,6,3,11,1
44,6,3,4,4,12,1
50,4,4,5,6,14,1
52,5,5,4,7,25,1
54,4,7,2,6,14,1
56,5,6,7,5,15,1
68,7,5,6,3,20,1
74,6,3,4,2,20,1
2,7,6,5,5,1,0
18,7,1,6,3,9,0
36,5,5,4,3,17,0
46,4,3,2,4,14,0
2,7,6,5,5,1,1
12,7,1,5,2,6,1
22,5,5,4,3,10,1
26,5,2,3,1,10,1
30,4,3,2,2,9,1
32,3,1,5,2,9,1
36,5,2,4,0,10,1
2,7,6,5,5,1,0
20,7,1,5,2,10,0
26,5,2,4,4,8,0
28,4,4,2,5,7,0
36,5,5,6,3,17,0
38,6,3,4,4,10,0
44,4,4,2,3,12,0
52,2,3,0,2,15,0
64,0,2,2,3,19,0
2,7,6,5,5,1,0
12,5,5,3,4,5,0
16,3,4,2,2,5,0
28,7,1,5,2,14,0
6,7,6,5,5,3,1
8,5,5,6,3,2,1
12,7,1,5,2,6,1
18,5,2,3,3,6,1
42,6,3,7,1,19,1
46,7,1,5,2,12,1
4,7,6,5,5,2,1
8,5,5,4,3,3,1
16,7,1,5,0,8,1
26,5,0,3,1,9,1
36,3,1,4,3,11,1
48,4,3,6,4,22,1
4,7,1,5,2,2,0
12,7,6,6,4,6,0
24,6,4,4,3,9,0
34,4,3,3,5,11,0
36,3,5,1,4,9,0
46,1,4,0,2,14,0
2,7,6,5,5,1,1
6,7,1,5,2,3,1
18,5,5,3,4,8,1
22,3,4,1,3,6,1
26,5,2,4,4,11,1
4,7,1,5,2,2,0
12,7,6,5,5,6,0
36,5,5,4,3,15,0
6,7,6,5,5,3,1
20,7,1,6,3,10,1
26,5,5,3,4,11,1
28,6,3,5,1,9,1
32,5,1,4,3,9,1
12,7,1,5,2,6,1
18,7,6,6,4,9,1
32,6,4,5,6,11,1
2,7,6,5,5,1,1
20,7,1,6,3,10,1
24,6,3,7,5,7,1
26,7,5,5,4,7,1
50,5,4,4,6,18,1
72,4,6,3,4,23,1
74,3,4,2,2,19,1
76,2,2,0,3,19,1
78,0,3,2,4,20,1
80,2,4,1,6,20,1
82,1,6,0,4,21,1
84,0,4,2,3,21,1
94,2,3,0,4,26,1
96,0,4,1,6,24,1
98,1,6,3,5,25,1
102,3,5,4,3,26,1
104,4,3,2,2,26,1
106,2,2,3,4,27,1
108,3,4,5,5,27,1
8,7,6,5,5,4,1
18,7,1,5,2,9,1
36,5,2,4,0,13,1
44,4,0,3,2,13,1
8,7,1,6,3,4,0
12,6,3,4,4,4,0
14,4,4,2,5,4,0
24,7,6,6,4,12,0
2,7,6,5,5,1,1
14,7,1,5,2,7,1
22,5,5,4,7,10,1
24,5,2,4,0,8,1
26,4,0,3,2,7,1
34,3,2,4,4,10,1
38,4,4,6,5,10,1
40,6,5,5,3,10,1
42,4,7,5,5,15,1
44,5,5,6,3,11,1
46,5,3,7,2,13,1
48,6,3,5,1,13,1
56,5,1,4,3,16,1
58,7,2,5,1,17,1
60,5,1,6,3,15,1
62,6,3,7,1,16,1
66,7,1,6,3,17,1
70,6,3,7,1,18,1
72,4,3,3,1,22,1
74,3,1,5,2,19,1
80,5,2,3,3,21,1
82,3,3,1,4,21,1
84,1,4,3,3,21,1
86,7,1,5,2,25,1
96,3,3,4,5,27,1
100,4,5,3,7,26,1
102,3,7,2,5,26,1
106,2,5,1,3,27,1
108,5,2,4,0,32,1
110,1,3,3,2,28,1
118,3,2,4,4,31,1
120,4,0,5,2,33,1
2,7,6,5,5,1,1
16,7,1,6,3,8,1
6,7,1,5,2,3,1
10,5,2,3,3,3,1
24,7,6,6,4,12,1
28,6,4,7,2,8,1
44,7,2,6,0,15,1
4,7,1,5,2,2,0
8,7,6,5,5,4,0
26,5,2,6,4,12,0
2,7,6,5,5,1,1
14,7,1,5,2,7,1
24,5,2,6,4,8,1
30,5,5,3,6,14,1
32,6,4,4,3,10,1
60,3,6,2,4,22,1
6,7,6,5,5,3,0
20,7,1,5,2,10,0
30,5,2,4,4,10,0
38,5,5,3,6,17,0
42,3,6,4,4,11,0
44,4,4,2,3,11,0
52,2,3,0,2,15,0
54,0,2,2,3,14,0
56,2,3,3,1,14,0
64,3,1,1,2,18,0
6,7,6,5,5,3,1
16,5,5,4,3,6,1
22,7,1,5,0,11,1
28,5,0,3,1,8,1
34,3,1,5,0,10,1
42,5,0,4,2,12,1
50,4,2,3,4,14,1
52,3,4,5,5,13,1
56,5,5,7,4,15,1
64,7,4,6,2,18,1
4,7,1,5,2,2,0
18,7,6,6,4,9,0
30,5,2,4,0,14,0
34,6,4,5,6,12,0
36,4,0,3,2,10,0
40,3,2,5,3,11,0
42,5,3,4,5,11,0
46,5,6,6,4,14,0
52,6,4,4,3,14,0
62,4,3,5,5,18,0
64,5,5,4,3,16,0
76,4,3,6,2,22,0
80,6,2,4,3,21,0
4,7,1,5,2,2,1
10,7,6,5,5,5,1
12,5,5,3,6,3,1
18,3,6,5,7,6,1
22,5,7,4,5,6,1
24,4,5,3,3,6,1
4,7,1,5,2,2,0
18,7,6,6,4,9,0
22,6,4,4,5,6,0
24,5,2,3,3,11,0
26,4,5,3,3,7,0
2,7,6,5,5,1,1
12,7,1,5,0,6,1
26,5,5,4,3,12,1
28,5,0,6,2,11,1
32,6,2,7,4,9,1
62,7,4,6,2,23,1
8,7,6,5,5,4,1
10,7,1,5,2,5,1
26,5,5,4,3,11,1
12,7,6,5,5,6,0
14,7,1,5,2,7,0
16,5,2,4,4,4,0
18,5,5,3,6,6,0
26,4,4,3,2,9,0
2,7,6,5,5,1,1
22,7,1,6,3,11,1
30,6,3,4,2,9,1
2,7,6,5,5,1,0
22,5,5,3,4,10,0
24,3,4,1,3,6,0
32,7,1,6,3,16,0
10,7,1,5,2,5,1
18,7,6,5,5,9,1
24,5,2,4,4,9,1
34,5,5,3,6,12,1
2,7,6,5,5,1,1
18,7,1,6,3,9,1
20,6,3,5,1,5,1
40,5,1,3,2,15,1
46,3,2,4,4,13,1
68,4,4,3,2,22,1
70,3,2,1,1,18,1
72,1,1,3,0,18,1
82,3,0,4,2,23,1
84,4,2,6,1,21,1
86,6,1,7,3,22,1
8,7,6,5,5,4,0
10,7,1,5,2,5,0
24,5,2,7,1,9,0
26,7,1,6,3,7,0
28,6,3,5,1,7,0
6,7,6,5,5,3,1
10,5,5,3,4,3,1
30,7,1,6,3,15,1
38,3,4,4,6,16,1
2,7,6,5,5,1,0
14,7,1,5,2,7,0
20,5,5,3,4,9,0
26,5,2,4,4,9,0
32,3,4,5,3,11,0
34,5,3,3,2,9,0
42,3,2,5,3,12,0
46,5,3,4,5,12,0
56,4,5,3,3,16,0
10,7,1,5,2,5,0
12,7,6,5,5,6,0
24,5,5,6,3,9,0
28,6,3,4,2,8,0
32,5,2,3,3,13,0
34,3,3,2,5,9,0
38,4,2,6,3,12,0
44,6,3,4,4,12,0
48,4,4,6,3,13,0
52,6,3,5,5,14,0
54,5,5,4,3,14,0
6,7,6,5,5,3,1
16,7,1,5,2,8,1
26,5,5,4,3,11,1
2,7,6,5,5,1,1
12,7,1,6,3,6,1
24,6,3,4,4,9,1
28,4,4,5,2,8,1
30,5,2,3,1,8,1
44,3,1,4,3,14,1
46,5,5,4,3,22,1
4,7,1,5,2,2,1
12,7,6,6,4,6,1
34,5,2,4,4,16,1
48,6,4,4,3,21,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
14,5,5,3,4,5,1
18,3,4,5,5,5,1
22,5,5,3,4,6,1
30,5,2,4,4,14,1
32,4,4,3,2,8,1
8,7,1,5,2,4,0
10,7,6,5,5,5,0
34,5,2,4,0,15,0
36,4,0,3,2,9,0
38,5,5,4,3,16,0
70,4,3,5,5,25,0
72,5,5,3,6,18,0
86,3,6,4,4,25,0
110,4,4,3,6,33,0
120,3,6,4,4,32,0
4,7,1,5,2,2,1
12,7,6,6,4,6,1
26,5,2,3,1,12,1
52,6,4,4,5,23,1
54,4,5,5,3,14,1
10,7,1,5,2,5,1
14,7,6,5,5,7,1
26,5,5,6,3,9,1
32,5,2,4,4,13,1
34,6,3,4,4,10,1
38,4,4,2,3,10,1
40,2,3,4,2,10,1
46,4,2,6,1,13,1
52,6,1,4,0,14,1
2,7,6,5,5,1,1
26,7,1,5,2,13,1
32,5,2,4,0,9,1
