turn,fromRank,fromFile,toRank,toFile,timeSpent,win
4,7,1,5,2,2,1
6,7,6,5,5,3,1
8,5,5,3,4,2,1
20,5,2,4,4,9,1
24,4,4,2,5,7,1
14,7,6,5,5,7,0
20,7,1,6,3,10,0
22,6,3,4,4,6,0
30,5,5,3,6,11,0
34,3,6,5,5,9,0
40,5,5,4,7,11,0
44,4,7,3,5,12,0
4,7,1,5,2,2,0
8,7,6,5,5,4,0
24,5,2,3,3,11,0
28,5,5,6,3,12,0
32,6,3,5,5,9,0
48,5,5,3,4,16,0
4,7,1,5,2,2,1
8,7,6,5,5,4,1
18,5,2,4,0,8,1
24,4,0,5,2,7,1
42,5,2,3,3,15,1
4,7,1,5,2,2,1
18,7,6,6,4,9,1
38,5,2,3,3,18,1
60,6,4,4,5,25,1
68,4,5,3,3,19,1
72,3,3,1,4,19,1
74,1,4,2,2,19,1
76,2,2,3,0,19,1
82,3,0,4,2,22,1
90,4,2,5,4,24,1
92,5,4,7,5,23,1
98,7,5,5,6,26,1
104,5,6,4,4,27,1
106,4,4,6,5,27,1
4,7,1,5,2,2,1
8,5,2,3,3,3,1
14,7,6,5,5,7,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
24,5,2,4,0,11,1
30,5,5,6,7,13,1
32,4,0,6,1,10,1
36,6,1,7,3,10,1
42,7,3,6,1,12,1
50,6,7,4,6,17,1
64,6,1,4,2,21,1
66,4,2,2,3,17,1
72,2,3,3,1,19,1
74,3,1,2,3,19,1
80,2,3,3,5,21,1
2,7,6,5,5,1,0
20,7,1,6,3,10,0
22,6,3,4,2,6,0
24,4,2,2,1,6,0
26,5,5,6,3,12,0
30,6,3,4,2,8,0
48,4,2,2,3,16,0
54,2,3,3,5,15,0
2,7,6,5,5,1,1
12,7,1,5,2,6,1
20,5,5,3,4,9,1
4,7,1,5,2,2,0
8,5,2,3,3,3,0
18,7,6,5,5,9,0
36,5,5,4,7,13,0
48,4,7,3,5,15,0
2,7,1,5,2,1,1
8,7,6,5,5,4,1
26,5,5,3,4,11,1
2,7,6,5,5,1,1
12,7,1,5,0,6,1
14,5,0,4,2,4,1
24,4,2,5,4,8,1
32,5,4,4,2,10,1
12,7,6,5,5,6,1
14,7,1,5,2,7,1
24,5,5,4,7,9,1
26,5,2,3,3,9,1
30,4,7,3,5,9,1
32,3,5,5,4,8,1
36,5,4,4,2,10,1
38,4,2,2,1,10,1
8,7,6,5,5,4,1
22,7,1,5,2,11,1
30,5,5,4,3,13,1
2,7,6,5,5,1,0
12,7,1,6,3,6,0
16,6,3,4,2,5,0
20,5,5,3,6,9,0
26,3,6,5,5,8,0
32,5,5,4,7,9,0
34,4,2,5,4,13,0
36,4,7,2,6,10,0
38,2,6,4,5,10,0
42,4,5,3,7,11,0
56,5,4,4,2,19,0
4,7,1,5,2,2,1
8,7,6,5,5,4,1
24,5,5,4,7,10,1
26,5,2,4,4,12,1
28,4,7,5,5,8,1
2,7,6,5,5,1,1
14,7,1,5,2,7,1
28,5,2,3,3,10,1
38,5,5,4,3,18,1
48,4,3,6,4,14,1
50,6,4,5,2,13,1
58,5,2,7,3,16,1
2,7,6,5,5,1,1
14,5,5,7,4,6,1
24,7,1,5,2,12,1
28,5,2,3,3,8,1
32,7,4,5,5,12,1
36,5,5,3,6,10,1
48,3,6,4,4,15,1
4,7,1,5,2,2,1
16,5,2,3,3,7,1
20,3,3,5,4,6,1
30,7,6,6,4,15,1
2,7,6,5,5,1,1
6,7,1,5,2,3,1
32,5,5,3,6,15,1
34,3,6,5,5,9,1
42,5,2,4,0,19,1
68,5,5,4,7,25,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
10,5,5,3,4,3,1
22,3,4,1,5,8,1
32,5,2,4,4,15,1
34,4,4,2,5,9,1
4,7,1,5,2,2,1
26,7,6,5,5,13,1
8,7,6,5,5,4,1
24,7,1,6,3,12,1
34,6,3,5,5,11,1
38,5,5,4,7,17,1
54,4,7,5,5,17,1
56,5,5,7,4,14,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
24,5,2,4,4,11,1
30,4,4,5,2,9,1
48,5,2,4,4,16,1
52,4,4,3,2,14,1
18,7,1,5,0,9,1
26,7,6,6,4,13,1
30,6,4,4,3,8,1
42,5,0,6,2,16,1
48,4,3,6,4,16,1
52,6,4,7,2,14,1
74,7,2,5,1,24,1
4,7,1,5,2,2,0
6,7,6,5,5,3,0
10,5,2,3,3,4,0
14,5,5,4,3,5,0
28,4,3,3,5,10,0
8,7,6,5,5,4,1
18,7,1,5,2,9,1
20,5,2,4,0,5,1
24,4,0,2,1,7,1
28,5,5,6,3,12,1
30,6,3,4,4,8,1
34,4,4,2,5,9,1
8,7,6,5,5,4,1
16,7,1,5,2,8,1
22,5,2,3,3,7,1
32,5,5,4,3,14,1
8,7,6,5,5,4,1
18,7,1,6,3,9,1
34,6,3,4,4,12,1
48,4,4,5,2,15,1
52,5,2,3,3,14,1
2,7,6,5,5,1,1
18,7,1,6,3,9,1
24,5,5,4,3,11,1
26,4,3,6,4,7,1
28,6,4,4,5,7,1
48,6,3,4,4,19,1
50,4,4,3,6,13,1
10,7,1,5,2,5,1
12,7,6,6,4,6,1
30,6,4,4,3,12,1
34,5,2,7,3,14,1
44,7,3,6,1,13,1
50,4,3,6,4,17,1
54,6,4,4,5,14,1
82,4,5,3,7,27,1
86,3,7,2,5,22,1
2,7,1,5,2,1,1
6,7,6,5,5,3,1
16,5,2,4,0,7,1
24,4,0,5,2,8,1
26,5,2,3,1,7,1
28,5,5,4,3,12,1
30,4,3,2,2,8,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
16,5,2,4,0,7,1
24,4,0,5,2,8,1
28,5,5,4,3,12,1
30,5,2,4,0,9,1
42,4,0,3,2,13,1
50,3,2,2,0,14,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
10,5,5,3,4,3,1
22,3,4,4,2,8,1
24,4,2,2,1,6,1
2,7,6,5,5,1,1
14,7,1,6,3,7,1
20,6,3,7,5,6,1
36,7,5,5,4,13,1
38,5,4,4,6,10,1
50,4,6,2,7,15,1
52,2,7,1,5,13,1
56,1,5,3,6,15,1
6,7,6,5,5,3,1
14,7,1,5,2,7,1
20,5,5,7,4,8,1
28,7,4,6,2,9,1
42,5,2,3,3,17,1
46,6,2,7,4,16,1
48,3,3,4,5,13,1
70,4,5,3,3,23,1
76,3,3,1,4,20,1
78,1,4,0,2,20,1
82,0,2,2,1,21,1
84,2,1,3,3,21,1
6,7,1,6,3,3,1
12,6,3,4,4,4,1
18,7,6,5,5,9,1
2,7,6,5,5,1,1
12,7,1,5,2,6,1
22,5,2,4,4,8,1
28,5,5,4,3,13,1
90,4,3,5,5,38,1
100,5,5,7,4,27,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
18,5,2,4,0,8,1
30,4,0,3,2,10,1
50,5,5,3,4,23,1
6,7,1,5,2,3,1
8,7,6,5,5,4,1
16,5,5,6,3,6,1
20,6,3,5,1,6,1
32,5,1,3,2,11,1
38,5,2,3,1,17,1
