turn,fromRank,fromFile,toRank,toFile,timeSpent,ELO,win
14,7,6,5,5,7,1938,0
18,7,1,6,3,9,1938,0
20,5,5,4,3,6,1938,0
30,6,3,5,5,10,1938,0
10,7,1,5,2,5,2476,1
12,7,6,6,4,6,2476,1
20,5,2,3,3,7,2476,1
26,6,4,7,2,10,2476,1
30,7,2,5,3,8,2476,1
34,5,3,4,5,9,2476,1
4,7,6,5,5,2,2053,0
8,5,5,3,4,3,2053,0
10,3,4,2,2,3,2053,0
14,7,1,5,2,7,2053,0
58,5,2,6,4,25,2053,0
60,6,4,5,6,15,2053,0
62,5,6,3,5,16,2053,0
2,7,6,5,5,1,2203,1
4,5,5,4,3,1,2203,1
8,4,3,5,1,3,2203,1
14,7,1,5,2,7,2203,1
20,5,1,4,3,8,2203,1
22,4,3,5,5,6,2203,1
42,5,5,4,7,15,2203,1
52,4,7,5,5,15,2203,1
54,5,2,6,4,23,2203,1
58,6,4,5,2,15,2203,1
66,5,2,4,4,18,2203,1
68,5,5,4,7,21,2203,1
2,7,6,5,5,1,2349,1
6,7,1,6,3,3,2349,1
16,5,5,4,7,7,2349,1
18,4,7,3,5,5,2349,1
20,6,3,5,5,8,2349,1
28,5,5,7,4,9,2349,1
32,7,4,5,5,9,2349,1
36,5,5,6,7,10,2349,1
4,7,1,5,2,2,2036,1
6,7,6,5,5,3,2036,1
12,5,2,4,0,5,2036,1
14,4,0,2,1,4,2036,1
36,5,5,4,3,16,2036,1
42,4,3,3,5,12,2036,1
56,3,5,2,7,17,2036,1
4,7,1,5,2,2,2013,0
32,5,2,3,3,15,2013,0
38,3,3,2,5,11,2013,0
52,7,6,6,4,26,2013,0
56,6,4,4,5,15,2013,0
58,4,5,2,4,15,2013,0
2,7,1,5,2,1,2138,1
26,7,6,5,7,13,2138,1
32,5,7,4,5,9,2138,1
34,4,5,2,6,9,2138,1
54,2,6,4,5,18,2138,1
68,4,5,6,4,20,2138,1
70,6,4,4,3,18,2138,1
72,4,3,3,1,18,2138,1
98,3,1,5,0,31,2138,1
100,5,0,6,2,25,2138,1
104,6,2,4,3,27,2138,1
106,4,3,6,2,27,2138,1
110,6,2,5,4,28,2138,1
114,5,4,3,5,29,2138,1
126,3,5,2,3,34,2138,1
130,2,3,4,4,33,2138,1
150,4,4,6,5,42,2138,1
12,7,6,6,4,6,2148,1
20,6,4,4,3,7,2148,1
22,7,1,6,3,11,2148,1
26,6,3,5,5,7,2148,1
84,4,3,5,1,37,2148,1
88,5,5,7,4,37,2148,1
92,7,4,6,6,24,2148,1
94,6,6,5,4,24,2148,1
96,5,1,6,3,27,2148,1
98,6,3,5,5,25,2148,1
100,5,4,3,3,26,2148,1
104,5,5,7,6,27,2148,1
114,7,6,5,5,31,2148,1
126,5,5,4,3,34,2148,1
6,7,1,5,2,3,2001,0
10,7,6,5,5,5,2001,0
44,5,5,6,3,19,2001,0
56,6,3,5,5,17,2001,0
66,5,5,3,6,19,2001,0
4,7,1,5,2,2,2127,0
6,7,6,5,5,3,2127,0
16,5,2,7,1,7,2127,0
22,7,1,6,3,7,2127,0
38,5,5,4,7,17,2127,0
42,6,3,4,2,15,2127,0
56,4,7,5,5,18,2127,0
66,5,5,3,4,19,2127,0
70,3,4,1,5,18,2127,0
8,7,6,5,5,4,2105,0
10,7,1,6,3,5,2105,0
42,5,5,3,6,19,2105,0
44,6,3,5,5,19,2105,0
50,5,5,4,3,14,2105,0
6,7,6,5,5,3,2200,1
12,5,5,3,6,4,2200,1
4,7,1,5,2,2,1976,0
8,7,6,5,5,4,1976,0
10,5,5,3,4,3,1976,0
22,3,4,1,5,8,1976,0
32,5,2,4,4,15,1976,0
34,4,4,2,5,9,1976,0
10,7,6,5,5,5,2148,1
12,7,1,5,2,6,2148,1
22,5,5,3,6,8,2148,1
28,3,6,5,5,8,2148,1
44,5,5,4,3,15,2148,1
2,7,6,5,5,1,1927,0
4,5,5,3,4,1,1927,0
12,3,4,2,6,5,1927,0
22,7,1,5,2,11,1927,0
6,7,6,5,7,3,2354,1
10,7,1,5,0,5,2354,1
16,5,0,3,1,5,2354,1
20,3,1,2,3,6,2354,1
2,7,1,5,2,1,2182,1
4,7,1,5,2,2,2127,1
12,5,2,4,4,5,2127,1
16,4,4,6,3,5,2127,1
18,7,6,5,5,9,2127,1
26,5,5,3,4,8,2127,1
46,6,3,5,5,19,2127,1
2,7,1,5,2,1,2130,1
16,7,6,6,4,8,2130,1
40,6,4,7,2,16,2130,1
44,7,2,5,1,12,2130,1
46,5,1,6,3,12,2130,1
62,6,3,4,2,19,2130,1
66,4,2,3,0,17,2130,1
8,7,6,5,5,4,2155,0
16,7,1,6,3,8,2155,0
32,6,3,4,2,12,2155,0
38,5,5,7,4,17,2155,0
6,7,1,5,2,3,2120,0
8,7,6,5,5,4,2120,0
26,5,5,3,4,11,2120,0
2,7,1,5,2,1,2138,0
6,5,2,4,4,2,2138,0
10,4,4,2,5,3,2138,0
16,7,6,6,4,8,2138,0
34,6,4,4,3,13,2138,0
4,7,1,5,2,2,2257,1
12,7,6,5,5,6,2257,1
16,5,2,4,0,7,2257,1
28,4,0,5,2,10,2257,1
2,7,6,5,5,1,2042,1
12,7,1,5,2,6,2042,1
16,5,2,3,3,5,2042,1
20,5,5,7,4,9,2042,1
2,7,6,5,5,1,2077,0
14,5,5,4,7,6,2077,0
16,7,1,5,2,8,2077,0
18,4,7,2,6,5,2077,0
28,5,2,3,1,10,2077,0
32,3,1,2,3,9,2077,0
6,7,1,5,2,3,2447,1
4,7,1,5,2,2,1720,0
6,7,6,5,5,3,1720,0
16,5,2,3,3,7,1720,0
18,3,3,5,4,5,1720,0
22,5,5,6,3,9,1720,0
24,6,3,4,4,6,1720,0
26,4,4,3,2,7,1720,0
34,3,2,1,1,10,1720,0
36,1,1,3,0,9,1720,0
10,7,1,5,2,5,2352,1
12,7,6,6,4,6,2352,1
14,6,4,5,6,4,2352,1
24,5,2,3,1,9,2352,1
26,3,1,2,3,7,2352,1
62,5,6,6,4,27,2352,1
64,6,4,4,5,16,2352,1
78,4,5,6,6,23,2352,1
6,7,6,5,5,3,2143,1
12,5,5,6,3,4,2143,1
14,6,3,5,1,4,2143,1
16,7,1,5,2,8,2143,1
36,5,1,3,0,14,2143,1
40,3,0,5,1,11,2143,1
42,5,1,6,3,11,2143,1
44,5,2,6,0,18,2143,1
46,6,3,4,2,12,2143,1
52,4,2,2,1,14,2143,1
54,2,1,0,2,14,2143,1
102,6,0,5,2,40,2143,1
108,5,2,7,1,28,2143,1
2,7,6,5,5,1,2340,1
12,7,1,5,2,6,2340,1
16,5,2,4,0,5,2340,1
38,5,5,3,6,18,2340,1
40,3,6,4,4,10,2340,1
42,4,0,3,2,17,2340,1
46,4,4,6,5,13,2340,1
62,3,2,1,1,20,2340,1
66,1,1,3,2,17,2340,1
80,6,5,5,3,28,2340,1
4,7,1,5,2,2,1942,0
18,7,6,5,5,9,1942,0
28,5,5,3,6,9,1942,0
30,3,6,4,4,8,1942,0
38,4,4,3,2,11,1942,0
54,3,2,1,1,17,1942,0
58,1,1,3,2,15,1942,0
68,3,2,4,4,19,1942,0
6,7,6,5,5,3,2739,1
12,7,1,5,2,6,2739,1
46,5,2,4,4,20,2739,1
54,4,4,2,3,15,2739,1
56,2,3,4,4,14,2739,1
2,7,6,5,5,1,2800,1
12,5,5,3,4,5,2800,1
28,7,1,5,2,14,2800,1
34,5,2,7,3,10,2800,1
2,7,6,5,5,1,2388,0
18,5,5,6,3,8,2388,0
20,7,1,6,3,10,2388,0
26,6,3,5,5,8,2388,0
32,5,5,3,4,9,2388,0
46,3,4,5,5,15,2388,0
52,5,5,6,3,14,2388,0
56,6,3,4,4,15,2388,0
2,7,6,5,5,1,2592,1
14,5,5,6,3,6,2592,1
16,7,1,5,2,8,2592,1
18,6,3,4,4,5,2592,1
4,7,1,5,2,2,2460,1
8,7,6,5,5,4,2460,1
24,5,5,4,3,10,2460,1
26,5,2,6,4,12,2460,1
28,6,4,5,6,7,2460,1
8,7,1,5,2,4,2602,1
12,5,2,3,3,4,2602,1
20,7,6,5,5,10,2602,1
22,5,5,4,3,6,2602,1
24,4,3,2,4,6,2602,1
4,7,1,5,2,2,2463,1
8,7,6,5,5,4,2463,1
18,5,2,4,0,8,2463,1
24,5,5,6,3,10,2463,1
30,4,0,6,1,10,2463,1
42,6,1,4,2,13,2463,1
56,4,2,2,1,17,2463,1
72,6,3,5,1,30,2463,1
10,7,6,6,4,5,2468,1
12,7,1,5,2,6,2468,1
34,6,4,4,3,14,2468,1
4,7,1,5,2,2,2630,1
8,7,6,5,5,4,2630,1
36,5,2,4,0,17,2630,1
44,4,0,5,2,13,2630,1
46,5,2,6,4,12,2630,1
8,7,6,5,7,4,2515,1
10,5,7,4,5,3,2515,1
12,7,1,6,3,6,2515,1
14,6,3,5,5,4,2515,1
24,4,5,5,3,9,2515,1
46,5,3,6,5,17,2515,1
56,5,5,4,3,24,2515,1
58,6,5,4,4,17,2515,1
64,4,3,5,5,18,2515,1
4,7,6,5,5,2,2520,1
12,7,1,5,2,6,2520,1
16,5,5,4,7,7,2520,1
34,5,2,4,4,14,2520,1
38,4,4,3,2,10,2520,1
42,3,2,1,3,11,2520,1
50,1,3,3,2,14,2520,1
54,3,2,2,0,14,2520,1
56,2,0,3,2,14,2520,1
8,7,6,5,5,4,2673,1
22,5,5,4,3,9,2673,1
56,7,1,6,3,28,2673,1
2,7,6,5,5,1,2526,0
12,5,5,6,3,5,2526,0
14,7,1,5,2,7,2526,0
16,6,3,5,1,5,2526,0
52,5,1,3,2,22,2526,0
6,7,6,5,5,3,2680,1
8,5,5,4,3,2,2680,1
10,4,3,5,1,3,2680,1
12,7,1,5,2,6,2680,1
24,5,2,3,1,9,2680,1
28,3,1,4,3,8,2680,1
42,5,1,3,0,18,2680,1
2,7,6,5,5,1,2537,1
14,7,1,6,3,7,2537,1
44,6,3,5,1,18,2537,1
4,7,1,5,2,2,2547,1
12,7,6,6,4,6,2547,1
20,6,4,4,3,7,2547,1
22,4,3,2,2,6,2547,1
46,5,2,7,1,22,2547,1
56,7,1,6,3,16,2547,1
64,6,3,4,2,18,2547,1
76,4,2,5,4,22,2547,1
4,7,1,5,2,2,2723,1
6,7,6,5,5,3,2723,1
10,5,2,3,3,4,2723,1
8,7,6,5,5,4,2551,1
12,7,1,5,2,6,2551,1
18,5,5,6,3,7,2551,1
28,6,3,5,1,9,2551,1
32,5,2,3,1,13,2551,1
34,5,1,3,2,10,2551,1
38,3,1,2,3,11,2551,1
40,2,3,1,1,10,2551,1
42,3,2,4,0,12,2551,1
58,4,0,2,1,18,2551,1
60,2,1,4,2,15,2551,1
68,4,2,5,4,19,2551,1
74,5,4,3,5,20,2551,1
2,7,6,5,5,1,2733,1
8,5,5,4,3,3,2733,1
12,4,3,2,2,4,2733,1
16,7,1,6,3,8,2733,1
24,6,3,5,5,8,2733,1
30,5,5,7,4,9,2733,1
38,7,4,5,3,11,2733,1
78,5,3,6,1,29,2733,1
80,6,1,5,3,20,2733,1
12,7,6,6,4,6,2573,1
16,6,4,4,5,5,2573,1
18,4,5,6,4,5,2573,1
26,7,1,5,0,13,2573,1
30,6,4,5,6,10,2573,1
34,5,6,4,4,9,2573,1
36,4,4,5,6,9,2573,1
38,5,6,4,4,10,2573,1
40,4,4,5,6,10,2573,1
8,7,1,5,2,4,2579,0
14,7,6,5,5,7,2579,0
22,5,2,3,1,9,2579,0
30,5,5,4,3,11,2579,0
34,3,1,5,2,11,2579,0
38,4,3,2,2,11,2579,0
4,7,1,5,2,2,2154,0
6,7,6,5,5,3,2154,0
12,5,5,3,4,4,2154,0
22,3,4,4,6,8,2154,0
24,4,6,3,4,6,2154,0
26,3,4,1,3,7,2154,0
8,7,6,5,5,4,1936,1
18,7,1,6,3,9,1936,1
20,6,3,4,4,5,1936,1
22,5,5,3,6,9,1936,1
24,4,4,2,3,7,1936,1
30,3,6,5,5,9,1936,1
2,7,6,5,5,1,1751,0
22,7,1,6,3,11,1751,0
28,6,3,5,5,8,1751,0
36,5,5,3,4,17,1751,0
10,7,1,5,2,5,2352,1
42,7,6,5,7,21,2352,1
8,7,1,5,2,4,2351,1
10,7,6,6,4,5,2351,1
12,6,4,5,6,3,2351,1
38,5,2,3,3,17,2351,1
4,7,1,5,2,2,2137,0
8,7,6,5,5,4,2137,0
18,5,2,4,0,8,2137,0
22,4,0,5,2,6,2137,0
36,5,5,4,3,16,2137,0
40,5,2,6,4,14,2137,0
42,6,4,4,5,11,2137,0
44,4,5,3,3,11,2137,0
62,3,3,1,2,20,2137,0
64,1,2,0,0,16,2137,0
66,0,0,1,2,17,2137,0
72,1,2,2,4,19,2137,0
74,2,4,3,6,19,2137,0
4,7,1,5,2,2,1911,1
8,7,6,5,5,4,1911,1
28,5,2,6,4,13,1911,1
34,6,4,4,3,10,1911,1
4,7,1,5,2,2,2163,0
6,7,6,5,5,3,2163,0
6,7,6,5,5,3,2351,1
14,7,1,6,3,7,2351,1
24,5,5,3,4,10,2351,1
26,6,3,5,5,9,2351,1
36,5,5,4,3,11,2351,1
8,7,6,5,5,4,1885,1
10,5,5,6,3,3,1885,1
14,7,1,5,2,7,1885,1
34,6,3,7,5,14,1885,1
38,7,5,6,7,10,1885,1
62,5,2,3,3,27,1885,1
4,7,6,5,5,2,2174,1
24,7,1,6,3,12,2174,1
34,5,5,4,3,16,2174,1
36,6,3,5,1,12,2174,1
44,5,1,6,3,13,2174,1
46,4,3,3,1,14,2174,1
48,6,3,5,5,13,2174,1
8,7,6,5,5,4,2139,1
16,7,1,5,2,8,2139,1
26,5,2,4,4,9,2139,1
6,7,6,5,5,3,1794,0
8,5,5,4,3,2,1794,0
12,7,1,5,2,6,1794,0
34,5,2,3,3,14,1794,0
36,3,3,1,4,9,1794,0
40,1,4,2,6,11,1794,0
4,7,1,5,2,2,2075,0
10,7,6,5,5,5,2075,0
32,5,5,4,7,13,2075,0
40,4,7,3,5,12,2075,0
50,3,5,2,7,15,2075,0
52,2,7,1,5,13,2075,0
64,1,5,3,6,19,2075,0
10,7,1,5,2,5,1905,0
52,7,6,6,4,26,1905,0
54,6,4,5,2,14,1905,0
60,5,2,3,1,16,1905,0
70,3,1,4,3,20,1905,0
2,7,1,5,2,1,2139,1
14,7,6,6,4,7,2139,1
28,6,4,7,2,10,2139,1
32,7,2,6,4,9,2139,1
36,5,2,3,3,17,2139,1
44,6,4,5,2,14,2139,1
46,5,2,7,3,12,2139,1
48,7,3,5,4,12,2139,1
6,7,1,5,2,3,2072,1
8,7,6,5,5,4,2072,1
4,7,1,5,2,2,2171,1
24,7,6,5,5,12,2171,1
36,5,5,3,4,12,2171,1
4,7,1,5,2,2,2103,0
24,7,6,5,5,12,2103,0
10,7,6,5,5,5,2360,0
2,7,6,5,5,1,1891,0
8,7,1,6,3,4,1891,0
24,5,5,4,3,11,1891,0
46,6,3,5,5,21,1891,0
6,7,1,6,3,3,1758,0
22,7,6,5,5,11,1758,0
28,5,5,3,4,8,1758,0
32,3,4,5,5,9,1758,0
38,5,5,4,3,11,1758,0
